[2013-04-26 19:04:12 GEX 6] Creating a Scheduler Engine...  	in GS::Gex::SchedulerEngine::SchedulerEngine(QObject*)  	in sources\scheduler_engine.cpp
[2013-04-26 19:04:12 GEX 5] Init Gex engine...  	in GS::Gex::Engine::Engine(QObject*)  	in sources\engine.cpp
[2013-04-26 19:04:12 GEX 6] Changing client state: eState_Init => eState_Init  	in void GS::Gex::Engine::SetClientState(GS::Gex::Engine::ClientState)  	in sources\engine.cpp
[2013-04-26 19:04:12 GEX 4] Get instance: cannot connect aboutToQuit with Destroy  	in static GS::Gex::Engine& GS::Gex::Engine::GetInstance()  	in sources\engine.cpp
[2013-04-26 19:04:12 GEX 7] Check Command Line options: s:\galaxy_dev_master\galaxy_products\gex_product\bin\gexd.exe -GTM -H  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:04:12 GEX 7] Arg 1 : '-GTM'  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:04:12 GEX 7] Arg 2 : '-H'  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:04:12 GEX 5] Check command line options: Running Hidden (-H option)  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:04:12 GEX 5] Starting as Application  	in int StartAsApplication(int, char**)  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 5]  entering MainInit...  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 5] According to CLI args : Product=1024  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 6] Update Product String Name product 1024 optinalmodules 0...  	in QString GS::Gex::EnginePrivate::UpdateProductStringName(int, unsigned int)  	in sources\engine.cpp
[2013-04-26 19:04:12 GEX 4] GexScriptEngine not yet initialized !  	in bool UpdateGexScriptEngine(CReportOptions*)  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 4] Can't update Gex Script Engine  	in QString GS::Gex::EnginePrivate::UpdateProductStringName(int, unsigned int)  	in sources\engine.cpp
[2013-04-26 19:04:12 GEX 5] New AppFullName=Galaxy Tester Monitor - V7.1 preview(20121214)  	in QString GS::Gex::EnginePrivate::UpdateProductStringName(int, unsigned int)  	in sources\engine.cpp
[2013-04-26 19:04:12 GEX 5] Starting Galaxy Tester Monitor - V7.1 preview(20121214) (26 Apr 2013 19:04:12)...  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 5] Compilation date: Apr 25 2013 11:09:16  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 5] using QT version 4.8.3  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 5] using exec built with GCC version 4.4.0  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:04:12 GEX 7] Registring GS::Gex::PATProcessing : 262  	in int MainInit()  	in sources\main.cpp
