[2013-04-26 19:05:42 GEX 6] Creating a Scheduler Engine...  	in GS::Gex::SchedulerEngine::SchedulerEngine(QObject*)  	in sources\scheduler_engine.cpp
[2013-04-26 19:05:42 GEX 5] Init Gex engine...  	in GS::Gex::Engine::Engine(QObject*)  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 6] Changing client state: eState_Init => eState_Init  	in void GS::Gex::Engine::SetClientState(GS::Gex::Engine::ClientState)  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 4] Get instance: cannot connect aboutToQuit with Destroy  	in static GS::Gex::Engine& GS::Gex::Engine::GetInstance()  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 7] Check Command Line options: s:\galaxy_dev_master\galaxy_products\gex_product\bin\gexd.exe -GTM -H  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:05:42 GEX 7] Arg 1 : '-GTM'  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:05:42 GEX 7] Arg 2 : '-H'  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:05:42 GEX 5] Check command line options: Running Hidden (-H option)  	in bool GS::Gex::CommandLineOptions::ParseArguments(const QStringList&)  	in sources\command_line_options.cpp
[2013-04-26 19:05:42 GEX 5] Starting as Application  	in int StartAsApplication(int, char**)  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 5]  entering MainInit...  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 5] According to CLI args : Product=1024  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 6] Update Product String Name product 1024 optinalmodules 0...  	in QString GS::Gex::EnginePrivate::UpdateProductStringName(int, unsigned int)  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 4] GexScriptEngine not yet initialized !  	in bool UpdateGexScriptEngine(CReportOptions*)  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 4] Can't update Gex Script Engine  	in QString GS::Gex::EnginePrivate::UpdateProductStringName(int, unsigned int)  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 5] New AppFullName=Galaxy Tester Monitor - V7.1 preview(20121214)  	in QString GS::Gex::EnginePrivate::UpdateProductStringName(int, unsigned int)  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 5] Starting Galaxy Tester Monitor - V7.1 preview(20121214) (26 Apr 2013 19:05:42)...  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 5] Compilation date: Apr 25 2013 11:09:16  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 5] using QT version 4.8.3  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 5] using exec built with GCC version 4.4.0  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 7] Registring GS::Gex::PATProcessing : 262  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 7] Registring GexDatabaseKeysContent : 263  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 7] Registring CGexMoTaskItem : 264  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 7] initializing License Provider  	in bool initializeLicenseManager()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 6] quitting MainInit function  	in int MainInit()  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 7] Pixmaps creation...  	in int StartAsApplication(int, char**)  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 6] Creating main window...  	in int StartAsApplication(int, char**)  	in sources\main.cpp
[2013-04-26 19:05:42 GEX 7]  launching setupUi()...  	in GexMainwindow::GexMainwindow(QWidget*, Qt::WFlags)  	in sources\gexmainwindow.cpp
[2013-04-26 19:05:42 GEX 7]  begin  	in bool GexMainwindow::loadAdditionalModules(QString*)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 7]  end  	in bool GexMainwindow::loadAdditionalModules(QString*)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 6]   	in GexScripting::GexScripting(QWidget*, bool, Qt::WFlags)  	in sources\script_wizard.cpp
[2013-04-26 19:05:42 GEX 7]    	in GexSettings::GexSettings(QWidget*, bool, Qt::WFlags)  	in sources\settings_dialog.cpp
[2013-04-26 19:05:42 GEX 6]   	in GexOneFileWizardPage1::GexOneFileWizardPage1(QWidget*, bool, Qt::WFlags)  	in sources\onefile_wizard.cpp
[2013-04-26 19:05:42 GEX 7]   	in GexCmpFileWizardPage1::GexCmpFileWizardPage1(QWidget*, bool, Qt::WFlags)  	in sources\comparefiles_wizard.cpp
[2013-04-26 19:05:42 GEX 7]   	in GexAddFileWizardPage1::GexAddFileWizardPage1(QWidget*, bool, Qt::WFlags)  	in sources\mergefiles_wizard.cpp
[2013-04-26 19:05:42 GEX 7] GexOneQueryWizardPage1::OnUpdateFilters  	in void GexOneQueryWizardPage1::OnUpdateFilters()  	in sources\db_onequery_wizard_on.cpp
[2013-04-26 19:05:42 GEX 7] GexOneQueryWizardPage1::OnUpdateFilters  	in void GexOneQueryWizardPage1::OnUpdateFilters()  	in sources\db_onequery_wizard_on.cpp
[2013-04-26 19:05:42 GEX 7] GexOneQueryWizardPage1::OnComboProcessChange  	in void GexOneQueryWizardPage1::OnComboProcessChange()  	in sources\db_onequery_wizard_on.cpp
[2013-04-26 19:05:42 GEX 7] Update DB ''...  	in void GexOneQueryWizardPage1::UpdateDatabase(bool)  	in sources\db_onequery_wizard.cpp
[2013-04-26 19:05:42 GEX 6]  ctor...  	in ReportsCenterWidget::ReportsCenterWidget(GexMainwindow*, QWidget*)  	in sources\reports_center_widget.cpp
[2013-04-26 19:05:42 GEX 7] ReportsCenterWidget::changeEvent  	in virtual void ReportsCenterWidget::changeEvent(QEvent*)  	in sources\reports_center_widget.cpp
[2013-04-26 19:05:42 GEX 7] ReportsCenterWidget::changeEvent  	in virtual void ReportsCenterWidget::changeEvent(QEvent*)  	in sources\reports_center_widget.cpp
[2013-04-26 19:05:42 GEX 7]  lProductID = 32   	in void GexMainwindow::LoadNavigationTabs(int, bool, bool)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 7]  done  	in void GexMainwindow::LoadNavigationTabs(int, bool, bool)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 6] gexlog_get_widget : ok : 0  	in GexMainwindow::GexMainwindow(QWidget*, Qt::WFlags)  	in sources\gexmainwindow.cpp
[2013-04-26 19:05:42 GEX 7] ReportsCenterWidget::changeEvent  	in virtual void ReportsCenterWidget::changeEvent(QEvent*)  	in sources\reports_center_widget.cpp
[2013-04-26 19:05:42 GEX 7] GexOneQueryWizardPage1::OnComboProcessChange  	in void GexOneQueryWizardPage1::OnComboProcessChange()  	in sources\db_onequery_wizard_on.cpp
[2013-04-26 19:05:42 GEX 7] Update DB ''...  	in void GexOneQueryWizardPage1::UpdateDatabase(bool)  	in sources\db_onequery_wizard.cpp
[2013-04-26 19:05:42 GEX 7] Show dialog page 2...  	in void GexMainwindow::ShowWizardDialog(int)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 7]  bBrowser = browser  	in void GexMainwindow::ShowHtmlBrowser(bool)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 7] Resize Gex Application with offset 0  	in void GexMainwindow::ResizeGexApplication(int)  	in sources\browser_dialog.cpp
[2013-04-26 19:05:42 GEX 5]  ctor end.  	in GexMainwindow::GexMainwindow(QWidget*, Qt::WFlags)  	in sources\gexmainwindow.cpp
[2013-04-26 19:05:42 GEX 6] Engine OnStart  	in void GS::Gex::Engine::OnStart()  	in sources\engine.cpp
[2013-04-26 19:05:42 GEX 6] Reset default  	in void CReportOptions::Reset(bool)  	in sources\report_options_reset.cpp
[2013-04-26 19:05:42 GEX 6]  default  	in void GS::Gex::OptionsHandler::Reset(bool)  	in sources\gex_options_handler.cpp
[2013-04-26 19:05:42 GEX 6] No default value for option ('adv_boxplot', 'r&r_file')  	in QString GS::Gex::OptionsTypeDefinition::getDefaultOptionValue(QString, QString) const  	in sources\report_options_type_definition.cpp
[2013-04-26 19:05:42 GEX 6] No default value for option ('adv_correlation', 'boxwhisker_orientation')  	in QString GS::Gex::OptionsTypeDefinition::getDefaultOptionValue(QString, QString) const  	in sources\report_options_type_definition.cpp
[2013-04-26 19:05:42 GEX 6] No default value for option ('adv_correlation', 'chart_type')  	in QString GS::Gex::OptionsTypeDefinition::getDefaultOptionValue(QString, QString) const  	in sources\report_options_type_definition.cpp
[2013-04-26 19:05:42 GEX 6] No default value for option ('adv_pearson', 'test_stats')  	in QString GS::Gex::OptionsTypeDefinition::getDefaultOptionValue(QString, QString) const  	in sources\report_options_type_definition.cpp
